task_id,language_full,number,location,quant_or_neg,vague_adj,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,code_full,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,complexity,example_answer,choice_index,finish_reason,text,codex_language_phrase_1,codex_code_phrase_1,codex_language_phrase_2,codex_code_phrase_2,codex_language_phrase_3,codex_code_phrase_3,codex_language_phrase_4,codex_code_phrase_4
1,"There are four stacks of red blocks, and there is one stack of yellow blocks.",1,,,,There are four stacks of red blocks.,There is one stack of yellow blocks.,,,"condition(filter(isRed, world.stacks).length == 4);
condition(filter(isYellow, world.stacks).length == 1);","condition(filter(isRed, world.stacks).length == 4);","condition(filter(isYellow, world.stacks).length == 1);",,,low,2,0,stop,"
// There are four stacks of red blocks.
condition(filter(isRed, world.stacks).length == 4);

// There is one stack of yellow blocks.
condition(filter(isYellow, world.stacks).length == 1);

",There are four stacks of red blocks.,"condition(filter(isRed, world.stacks).length == 4);",There is one stack of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 1);",,,,
2,"There are two stacks of yellow blocks, and there is one stack of red blocks.",1,,,,There are two stacks of yellow blocks.,There is one stack of red blocks.,,,"condition(filter(isYellow, world.stacks).length == 2);
condition(filter(isRed, world.stacks).length == 1);","condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isRed, world.stacks).length == 1);",,,low,5,0,stop,"
// There are two stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length == 2);

// There is one stack of red blocks.
condition(filter(isRed, world.stacks).length == 1);

",There are two stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 2);",There is one stack of red blocks.,"condition(filter(isRed, world.stacks).length == 1);",,,,
3,"There are two stacks of red blocks, and there are two stacks of yellow blocks.",1,,,,There are two stacks of red blocks.,There are two stacks of yellow blocks.,,,"condition(filter(isRed, world.stacks).length == 2);
condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isRed, world.stacks).length == 2);","condition(filter(isYellow, world.stacks).length == 2);",,,low,4,0,stop,"
// There are two stacks of red blocks.
condition(filter(isRed, world.stacks).length == 2);

// There are two stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length == 2);

",There are two stacks of red blocks.,"condition(filter(isRed, world.stacks).length == 2);",There are two stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 2);",,,,
4,"There are yellow blocks on the left side of the table, and there are red blocks on the right edge of the table.",,1,,,There are yellow blocks on the left side of the table.,There are red blocks on the right edge of the table.,,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);
condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.blocks))).length > 0);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);","condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.blocks))).length > 0);",,,low,3,0,stop,"
// There are yellow blocks on the left side of the table.
condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);

// There are red blocks on the right edge of the table.
condition(filter(isOnRight, filter(isRed, world.blocks)).length > 0);

",There are yellow blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);",There are red blocks on the right edge of the table.,"condition(filter(isOnRight, filter(isRed, world.blocks)).length > 0);",,,,
5,"There are red blocks on the left edge of the table, and there are yellow blocks on the right edge of the table.",,1,,,There are red blocks on the left edge of the table.,There are yellow blocks on the right edge of the table.,,,"condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.blocks))).length > 0);
condition(filter(isOnEdge, filter(isOnRight, filter(isYellow, world.blocks))).length > 0);","condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.blocks))).length > 0);","condition(filter(isOnEdge, filter(isOnRight, filter(isYellow, world.blocks))).length > 0);",,,low,4,0,stop,"
// There are red blocks on the left edge of the table.
condition(filter(isOnLeft, filter(isRed, world.blocks)).length > 0);

// There are yellow blocks on the right edge of the table.
condition(filter(isOnRight, filter(isYellow, world.blocks)).length > 0);

",There are red blocks on the left edge of the table.,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length > 0);",There are yellow blocks on the right edge of the table.,"condition(filter(isOnRight, filter(isYellow, world.blocks)).length > 0);",,,,
6,"There are yellow blocks on the edges of the table, and there are red blocks on the center of the table.",,1,,,There are yellow blocks on the edges of the table.,There are red blocks on the center of the table.,,,"condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);
condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);","condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);","condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);",,,low,6,0,stop,"
// There are yellow blocks on the edges of the table.
condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);

// There are red blocks on the center of the table.
condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);

",There are yellow blocks on the edges of the table.,"condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);",There are red blocks on the center of the table.,"condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);",,,,
7,All of the blocks are red.,,,1,,All of the blocks are red.,,,,"condition(all(isRed, world.blocks));","condition(all(isRed, world.blocks));",,,,low,1,0,stop,"
// All of the blocks are red.
condition(all(isRed, world.blocks));

",All of the blocks are red.,"condition(all(isRed, world.blocks));",,,,,,
8,Most of the blocks are yellow.,,,1,,Most of the blocks are yellow.,,,,"condition(filter(isYellow, world.blocks).length > world.blocks.length/2);","condition(filter(isYellow, world.blocks).length > world.blocks.length/2);",,,,low,6,0,stop,"
// Most of the blocks are yellow.
condition(filter(isYellow, world.blocks).length > filter(isRed, world.blocks).length);

",Most of the blocks are yellow.,"condition(filter(isYellow, world.blocks).length > filter(isRed, world.blocks).length);",,,,,,
9,"There are many red blocks, and there are a few yellow blocks.",,,1,,There are many red blocks.,There are a few yellow blocks.,,,"condition(filter(isRed, world.blocks).length >= 6);
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);","condition(filter(isRed, world.blocks).length >= 6);","condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);",,,low,2,0,stop,"
// There are many red blocks.
condition(filter(isRed, world.blocks).length > 5);

// There are a few yellow blocks.
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 5);

",There are many red blocks.,"condition(filter(isRed, world.blocks).length > 5);",There are a few yellow blocks.,"condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 5);",,,,
10,"There are several stacks of yellow blocks, and there are few stacks of red blocks.",,,1,,There are several stacks of yellow blocks.,There are few stacks of red blocks.,,,"condition(filter(isYellow, world.stacks).length > 2 && filter(isYellow, world.stacks).length <= 5);
condition(filter(isRed, world.stacks).length <= 4);","condition(filter(isYellow, world.stacks).length > 2 && filter(isYellow, world.stacks).length <= 5);","condition(filter(isRed, world.stacks).length <= 4);",,,low,5,0,stop,"
// There are several stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length > 1 && filter(isYellow, world.stacks).length <= 4);

// There are few stacks of red blocks.
condition(filter(isRed, world.stacks).length > 0 && filter(isRed, world.stacks).length <= 2);

",There are several stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length > 1 && filter(isYellow, world.stacks).length <= 4);",There are few stacks of red blocks.,"condition(filter(isRed, world.stacks).length > 0 && filter(isRed, world.stacks).length <= 2);",,,,
11,"Half of the blocks are yellow, and half of the blocks are red.",,,1,,Half of the blocks are yellow.,Half of the blocks are red.,,,"condition(filter(isYellow, world.blocks).length == world.blocks.length/2);
condition(filter(isRed, world.blocks).length == world.blocks.length/2);","condition(filter(isYellow, world.blocks).length == world.blocks.length/2);","condition(filter(isRed, world.blocks).length == world.blocks.length/2);",,,low,4,0,stop,"
// Half of the blocks are yellow.
condition(filter(isYellow, world.blocks).length == filter(isRed, world.blocks).length);

",Half of the blocks are yellow.,"condition(filter(isYellow, world.blocks).length == filter(isRed, world.blocks).length);",,,,,,
12,None of the blocks are red.,,,2,,None of the blocks are red.,,,,"condition(filter(isRed, world.blocks).length == 0);","condition(filter(isRed, world.blocks).length == 0);",,,,low,7,0,stop,"
// None of the blocks are red.
condition(filter(isRed, world.blocks).length == 0);

",None of the blocks are red.,"condition(filter(isRed, world.blocks).length == 0);",,,,,,
13,No less than half of the blocks are yellow.,,,2,,No less than half of the blocks are yellow.,,,,"condition(filter(isYellow, world.blocks).length >= world.blocks.length/2);","condition(filter(isYellow, world.blocks).length >= world.blocks.length/2);",,,,low,5,0,stop,"
// No less than half of the blocks are yellow.
condition(filter(isYellow, world.blocks).length >= world.blocks.length / 2);

",No less than half of the blocks are yellow.,"condition(filter(isYellow, world.blocks).length >= world.blocks.length / 2);",,,,,,
14,"There are tall stacks of red blocks, and there are short stacks of yellow blocks.",,,,1,There are tall stacks of red blocks.,There are short stacks of yellow blocks.,,,"condition(filter(isTall, filter(isRed, world.stacks)).length > 0);
condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);",,,low,3,0,stop,"
// There are tall stacks of red blocks.
condition(filter(isTall, filter(isRed, world.stacks)).length > 0);

// There are short stacks of yellow blocks.
condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);

",There are tall stacks of red blocks.,"condition(filter(isTall, filter(isRed, world.stacks)).length > 0);",There are short stacks of yellow blocks.,"condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);",,,,
15,"There are stacks of yellow blocks, and there are tall stacks of red blocks.",,,,1,There are stacks of yellow blocks.,There are tall stacks of red blocks.,,,"condition(filter(isYellow, world.stacks).length > 0);
condition(filter(isTall, filter(isRed, world.stacks)).length > 0);","condition(filter(isYellow, world.stacks).length > 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > 0);",,,low,3,0,stop,"
// There are stacks of yellow blocks.
condition(filter(isYellow, world.stacks).length > 0);

// There are tall stacks of red blocks.
condition(filter(isTall, filter(isRed, world.stacks)).length > 0);

",There are stacks of yellow blocks.,"condition(filter(isYellow, world.stacks).length > 0);",There are tall stacks of red blocks.,"condition(filter(isTall, filter(isRed, world.stacks)).length > 0);",,,,
16,"There are short stacks of red blocks, and there are short stacks of yellow blocks.",,,,1,There are short stacks of red blocks.,There are short stacks of yellow blocks.,,,"condition(filter(isShort, filter(isRed, world.stacks)).length > 0);
condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);","condition(filter(isShort, filter(isRed, world.stacks)).length > 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);",,,low,4,0,stop,"
// There are short stacks of red blocks.
condition(filter(isShort, filter(isRed, world.stacks)).length > 0);

// There are short stacks of yellow blocks.
condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);

",There are short stacks of red blocks.,"condition(filter(isShort, filter(isRed, world.stacks)).length > 0);",There are short stacks of yellow blocks.,"condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);",,,,
17,"There are four yellow blocks on the left side of the table, and there are seven red blocks on the middle.",1,1,,,There are four yellow blocks on the left side of the table.,There are seven red blocks on the middle.,,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 4);
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 7);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 4);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 7);",,,medium,4,0,stop,"
// There are four yellow blocks on the left side of the table.
condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 4);

// There are seven red blocks on the middle.
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 7);

",There are four yellow blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 4);",There are seven red blocks on the middle.,"condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 7);",,,,
18,"There is one stack of red blocks on the right side of the table, and there is one stack of yellow blocks on the center.",1,1,,,There is one stack of red blocks on the right side of the table.,There is one stack of yellow blocks on the center.,,,"condition(filter(isOnRight, filter(isRed, world.stacks)).length == 1);
condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);","condition(filter(isOnRight, filter(isRed, world.stacks)).length == 1);","condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);",,,medium,2,0,stop,"
// There is one stack of red blocks on the right side of the table.
condition(filter(isOnRight, filter(isRed, world.stacks)).length == 1);

// There is one stack of yellow blocks on the center.
condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);

",There is one stack of red blocks on the right side of the table.,"condition(filter(isOnRight, filter(isRed, world.stacks)).length == 1);",There is one stack of yellow blocks on the center.,"condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);",,,,
19,"There is one stack of yellow blocks on the left side of the table, and there are two stacks of red blocks on the middle.",1,1,,,There is one stack of yellow blocks on the left side of the table.,There are two stacks of red blocks on the middle.,,,"condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);
condition(filter(isOnMiddle, filter(isRed, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);","condition(filter(isOnMiddle, filter(isRed, world.stacks)).length == 2);",,,medium,5,0,stop,"
// There is one stack of yellow blocks on the left side of the table.
condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);

// There are two stacks of red blocks on the middle.
condition(filter(isOnMiddle, filter(isRed, world.stacks)).length == 2);

",There is one stack of yellow blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);",There are two stacks of red blocks on the middle.,"condition(filter(isOnMiddle, filter(isRed, world.stacks)).length == 2);",,,,
20,"There are two stacks of red blocks on the left side of the table, and there are two stacks of yellow blocks on the right side.",1,1,,,There are two stacks of red blocks on the left side of the table.,There are two stacks of yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 2);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 2);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);",,,medium,4,0,stop,"
// There are two stacks of red blocks on the left side of the table.
condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 2);

// There are two stacks of yellow blocks on the right side.
condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);

",There are two stacks of red blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 2);",There are two stacks of yellow blocks on the right side.,"condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);",,,,
21,"There is one stack of yellow blocks, and there is one stack of red blocks near the yellow stack.",1,1,,,There is one stack of yellow blocks.,There is one stack of red blocks near the yellow stack.,,,"condition(filter(isYellow, world.stacks).length == 1);
condition(filter(isNear(filter(isYellow, world.stacks)[0]), filter(isRed, world.stacks)).length == 1);","condition(filter(isYellow, world.stacks).length == 1);","condition(filter(isNear(filter(isYellow, world.stacks)[0]), filter(isRed, world.stacks)).length == 1);",,,medium,4,0,stop,"
// There is one stack of yellow blocks.
condition(filter(isYellow, world.stacks).length == 1);

// There is one stack of red blocks near the yellow stack.
condition(filter(isNear(filter(isYellow, world.stacks)[0]), filter(isRed, world.stacks)).length == 1);

",There is one stack of yellow blocks.,"condition(filter(isYellow, world.stacks).length == 1);",There is one stack of red blocks near the yellow stack.,"condition(filter(isNear(filter(isYellow, world.stacks)[0]), filter(isRed, world.stacks)).length == 1);",,,,
22,"There are three stacks of red blocks on the left side of the table, and there are two stacks of yellow blocks on the right side.",1,1,,,There are three stacks of red blocks on the left side of the table.,There are two stacks of yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 3);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 3);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);",,,medium,3,0,stop,"
// There are three stacks of red blocks on the left side of the table.
condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 3);

// There are two stacks of yellow blocks on the right side.
condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);

",There are three stacks of red blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 3);",There are two stacks of yellow blocks on the right side.,"condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);",,,,
23,"There are three yellow blocks on the left side of the table, there are six red blocks on the middle, and there are three red blocks on the right side.",1,1,,,There are three yellow blocks on the left side of the table.,There are six red blocks on the middle.,There are three red blocks on the right side.,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 3);
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 6);
condition(filter(isOnRight, filter(isRed, world.blocks)).length == 3);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 3);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 6);","condition(filter(isOnRight, filter(isRed, world.blocks)).length == 3);",,medium,2,0,stop,"
// There are three yellow blocks on the left side of the table.
condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 3);

// There are six red blocks on the middle.
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 6);

// There are three red blocks on the right side.
condition(filter(isOnRight, filter(isRed, world.blocks)).length == 3);

",There are three yellow blocks on the left side of the table.,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 3);",There are six red blocks on the middle.,"condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 6);",There are three red blocks on the right side.,"condition(filter(isOnRight, filter(isRed, world.blocks)).length == 3);",,
24,"There are more red blocks than yellow blocks on the table, and there are more yellow blocks than red blocks on the edges of the table.",,1,1,,There are more red blocks than yellow blocks on the table.,There are more yellow blocks than red blocks on the edges of the table.,,,"condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);
condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > filter(isOnEdge, filter(isRed, world.blocks)).length);","condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);","condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > filter(isOnEdge, filter(isRed, world.blocks)).length);",,,medium,6,0,stop,"
// There are more red blocks than yellow blocks on the table.
condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);

// There are more yellow blocks than red blocks on the edges of the table.
condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > filter(isOnEdge, filter(isRed, world.blocks)).length);

",There are more red blocks than yellow blocks on the table.,"condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);",There are more yellow blocks than red blocks on the edges of the table.,"condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > filter(isOnEdge, filter(isRed, world.blocks)).length);",,,,
25,There are many blocks on the table. Most of the blocks on the table are yellow. All of the blocks on the middle of the table are red.,,1,1,,There are many blocks on the table. ,Most of the blocks on the table are yellow.,All of the blocks on the middle of the table are red.,,"condition(world.blocks.length >= 6);
condition(filter(isYellow, world.blocks).length > world.blocks.length/2);
condition(filter(isOnMiddle, world.blocks).length > 0 && all(isRed, filter(isOnMiddle, world.blocks)));",condition(world.blocks.length >= 6);,"condition(filter(isYellow, world.blocks).length > world.blocks.length/2);","condition(filter(isOnMiddle, world.blocks).length > 0 && all(isRed, filter(isOnMiddle, world.blocks)));",,medium,5,0,stop,"
// There are many blocks on the table.
condition(world.blocks.length >= 10);

// Most of the blocks on the table are yellow.
condition(filter(isYellow, world.blocks).length >= world.blocks.length / 2);

// All of the blocks on the middle of the table are red.
condition(filter(isOnMiddle, world.blocks).length > 0 && all(isRed, filter(isOnMiddle, world.blocks)));

",There are many blocks on the table.,condition(world.blocks.length >= 10);,Most of the blocks on the table are yellow.,"condition(filter(isYellow, world.blocks).length >= world.blocks.length / 2);",All of the blocks on the middle of the table are red.,"condition(filter(isOnMiddle, world.blocks).length > 0 && all(isRed, filter(isOnMiddle, world.blocks)));",,
