task_id,language_full,number,location,quant_or_neg,vague_adj,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,code_full,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,complexity,example_answer
1,"There are four stacks of red blocks, and there is one stack of yellow blocks.",1,,,,There are four stacks of red blocks.,There is one stack of yellow blocks.,,,"condition(filter(isRed, world.stacks).length == 4);
condition(filter(isYellow, world.stacks).length == 1);","condition(filter(isRed, world.stacks).length == 4);","condition(filter(isYellow, world.stacks).length == 1);",,,low,2
2,"There are two stacks of yellow blocks, and there is one stack of red blocks.",1,,,,There are two stacks of yellow blocks.,There is one stack of red blocks.,,,"condition(filter(isYellow, world.stacks).length == 2);
condition(filter(isRed, world.stacks).length == 1);","condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isRed, world.stacks).length == 1);",,,low,5
3,"There are two stacks of red blocks, and there are two stacks of yellow blocks.",1,,,,There are two stacks of red blocks.,There are two stacks of yellow blocks.,,,"condition(filter(isRed, world.stacks).length == 2);
condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isRed, world.stacks).length == 2);","condition(filter(isYellow, world.stacks).length == 2);",,,low,4
4,"There are yellow blocks on the left side of the table, and there are red blocks on the right edge of the table.",,1,,,There are yellow blocks on the left side of the table.,There are red blocks on the right edge of the table.,,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);
condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.blocks))).length > 0);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length > 0);","condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.blocks))).length > 0);",,,low,3
5,"There are red blocks on the left edge of the table, and there are yellow blocks on the right edge of the table.",,1,,,There are red blocks on the left edge of the table.,There are yellow blocks on the right edge of the table.,,,"condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.blocks))).length > 0);
condition(filter(isOnEdge, filter(isOnRight, filter(isYellow, world.blocks))).length > 0);","condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.blocks))).length > 0);","condition(filter(isOnEdge, filter(isOnRight, filter(isYellow, world.blocks))).length > 0);",,,low,4
6,"There are yellow blocks on the edges of the table, and there are red blocks on the center of the table.",,1,,,There are yellow blocks on the edges of the table.,There are red blocks on the center of the table.,,,"condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);
condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);","condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > 0);","condition(filter(isOnCenter, filter(isRed, world.blocks)).length > 0);",,,low,6
7,All of the blocks are red.,,,1,,All of the blocks are red.,,,,"condition(all(isRed, world.blocks));","condition(all(isRed, world.blocks));",,,,low,1
8,Most of the blocks are yellow.,,,1,,Most of the blocks are yellow.,,,,"condition(filter(isYellow, world.blocks).length > world.blocks.length/2);","condition(filter(isYellow, world.blocks).length > world.blocks.length/2);",,,,low,6
9,"There are many red blocks, and there are a few yellow blocks.",,,1,,There are many red blocks.,There are a few yellow blocks.,,,"condition(filter(isRed, world.blocks).length >= 6);
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);","condition(filter(isRed, world.blocks).length >= 6);","condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);",,,low,2
10,"There are several stacks of yellow blocks, and there are few stacks of red blocks.",,,1,,There are several stacks of yellow blocks.,There are few stacks of red blocks.,,,"condition(filter(isYellow, world.stacks).length > 2 && filter(isYellow, world.stacks).length <= 5);
condition(filter(isRed, world.stacks).length <= 4);","condition(filter(isYellow, world.stacks).length > 2 && filter(isYellow, world.stacks).length <= 5);","condition(filter(isRed, world.stacks).length <= 4);",,,low,5
11,"Half of the blocks are yellow, and half of the blocks are red.",,,1,,Half of the blocks are yellow.,Half of the blocks are red.,,,"condition(filter(isYellow, world.blocks).length == world.blocks.length/2);
condition(filter(isRed, world.blocks).length == world.blocks.length/2);","condition(filter(isYellow, world.blocks).length == world.blocks.length/2);","condition(filter(isRed, world.blocks).length == world.blocks.length/2);",,,low,4
12,None of the blocks are red.,,,2,,None of the blocks are red.,,,,"condition(filter(isRed, world.blocks).length == 0);","condition(filter(isRed, world.blocks).length == 0);",,,,low,7
13,No less than half of the blocks are yellow.,,,2,,No less than half of the blocks are yellow.,,,,"condition(filter(isYellow, world.blocks).length >= world.blocks.length/2);","condition(filter(isYellow, world.blocks).length >= world.blocks.length/2);",,,,low,5
14,"There are tall stacks of red blocks, and there are short stacks of yellow blocks.",,,,1,There are tall stacks of red blocks.,There are short stacks of yellow blocks.,,,"condition(filter(isTall, filter(isRed, world.stacks)).length > 0);
condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);",,,low,3
15,"There are stacks of yellow blocks, and there are tall stacks of red blocks.",,,,1,There are stacks of yellow blocks.,There are tall stacks of red blocks.,,,"condition(filter(isYellow, world.stacks).length > 0);
condition(filter(isTall, filter(isRed, world.stacks)).length > 0);","condition(filter(isYellow, world.stacks).length > 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > 0);",,,low,3
16,"There are short stacks of red blocks, and there are short stacks of yellow blocks.",,,,1,There are short stacks of red blocks.,There are short stacks of yellow blocks.,,,"condition(filter(isShort, filter(isRed, world.stacks)).length > 0);
condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);","condition(filter(isShort, filter(isRed, world.stacks)).length > 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);",,,low,4
17,"There are four yellow blocks on the left side of the table, and there are seven red blocks on the middle.",1,1,,,There are four yellow blocks on the left side of the table.,There are seven red blocks on the middle.,,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 4);
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 7);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 4);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 7);",,,medium,4
18,"There is one stack of red blocks on the right side of the table, and there is one stack of yellow blocks on the center.",1,1,,,There is one stack of red blocks on the right side of the table.,There is one stack of yellow blocks on the center.,,,"condition(filter(isOnRight, filter(isRed, world.stacks)).length == 1);
condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);","condition(filter(isOnRight, filter(isRed, world.stacks)).length == 1);","condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);",,,medium,2
19,"There is one stack of yellow blocks on the left side of the table, and there are two stacks of red blocks on the middle.",1,1,,,There is one stack of yellow blocks on the left side of the table.,There are two stacks of red blocks on the middle.,,,"condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);
condition(filter(isOnMiddle, filter(isRed, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);","condition(filter(isOnMiddle, filter(isRed, world.stacks)).length == 2);",,,medium,5
20,"There are two stacks of red blocks on the left side of the table, and there are two stacks of yellow blocks on the right side.",1,1,,,There are two stacks of red blocks on the left side of the table.,There are two stacks of yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 2);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 2);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);",,,medium,4
21,"There is one stack of yellow blocks, and there is one stack of red blocks near the yellow stack.",1,1,,,There is one stack of yellow blocks.,There is one stack of red blocks near the yellow stack.,,,"condition(filter(isYellow, world.stacks).length == 1);
condition(filter(isNear(filter(isYellow, world.stacks)[0]), filter(isRed, world.stacks)).length == 1);","condition(filter(isYellow, world.stacks).length == 1);","condition(filter(isNear(filter(isYellow, world.stacks)[0]), filter(isRed, world.stacks)).length == 1);",,,medium,4
22,"There are three stacks of red blocks on the left side of the table, and there are two stacks of yellow blocks on the right side.",1,1,,,There are three stacks of red blocks on the left side of the table.,There are two stacks of yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 3);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isRed, world.stacks)).length == 3);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);",,,medium,3
23,"There are three yellow blocks on the left side of the table, there are six red blocks on the middle, and there are three red blocks on the right side.",1,1,,,There are three yellow blocks on the left side of the table.,There are six red blocks on the middle.,There are three red blocks on the right side.,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 3);
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 6);
condition(filter(isOnRight, filter(isRed, world.blocks)).length == 3);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length == 3);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 6);","condition(filter(isOnRight, filter(isRed, world.blocks)).length == 3);",,medium,2
24,"There are more red blocks than yellow blocks on the table, and there are more yellow blocks than red blocks on the edges of the table.",,1,1,,There are more red blocks than yellow blocks on the table.,There are more yellow blocks than red blocks on the edges of the table.,,,"condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);
condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > filter(isOnEdge, filter(isRed, world.blocks)).length);","condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);","condition(filter(isOnEdge, filter(isYellow, world.blocks)).length > filter(isOnEdge, filter(isRed, world.blocks)).length);",,,medium,6
25,There are many blocks on the table. Most of the blocks on the table are yellow. All of the blocks on the middle of the table are red.,,1,1,,There are many blocks on the table. ,Most of the blocks on the table are yellow.,All of the blocks on the middle of the table are red.,,"condition(world.blocks.length >= 6);
condition(filter(isYellow, world.blocks).length > world.blocks.length/2);
condition(filter(isOnMiddle, world.blocks).length > 0 && all(isRed, filter(isOnMiddle, world.blocks)));",condition(world.blocks.length >= 6);,"condition(filter(isYellow, world.blocks).length > world.blocks.length/2);","condition(filter(isOnMiddle, world.blocks).length > 0 && all(isRed, filter(isOnMiddle, world.blocks)));",,medium,5
26,There are more red blocks than yellow blocks on the table. All of the blocks on the edges of the table are yellow.,,1,1,,There are more red blocks than yellow blocks on the table.,All of the blocks on the edges of the table are yellow.,,,"condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);
condition(filter(isOnEdge, world.blocks).length > 0 && all(isYellow, filter(isOnEdge, world.blocks)));","condition(filter(isRed, world.blocks).length > filter(isYellow, world.blocks).length);","condition(filter(isOnEdge, world.blocks).length > 0 && all(isYellow, filter(isOnEdge, world.blocks)));",,,medium,6
27,There are many blocks on the table. Not all of the blocks on the left side are yellow. Most of the blocks on the right side are red.,,1,2,,There are many blocks on the table.,Not all of the blocks on the left side are yellow.,Most of the blocks on the right side are red.,,"condition(world.blocks.length >= 6);
condition(!all(isYellow, filter(isOnLeft, world.blocks)));
condition(filter(isRed, filter(isOnRight, world.blocks)).length > filter(isOnRight, world.blocks).length/2);",condition(world.blocks.length >= 6);,"condition(!all(isYellow, filter(isOnLeft, world.blocks)));","condition(filter(isRed, filter(isOnRight, world.blocks)).length > filter(isOnRight, world.blocks).length/2);",,medium,3
28,"There are red blocks on the edges of the table, and there are no yellow blocks on the egdes of the table.",,1,2,,There are red blocks on the edges of the table.,There are no yellow blocks on the egdes of the table.,,,"condition(filter(isOnEdge, filter(isRed, world.blocks)).length > 0);
condition(filter(isOnEdge, filter(isYellow, world.blocks)).length == 0);","condition(filter(isOnEdge, filter(isRed, world.blocks)).length > 0);","condition(filter(isOnEdge, filter(isYellow, world.blocks)).length == 0);",,,medium,2
29,"There are many yellow blocks on the left side of the table, there are no blocks on the middle, and there are no blocks on the right side.",,1,2,,There are many yellow blocks on the left side of the table.,There are no blocks on the middle.,There are no blocks on the right side.,,"condition(filter(isOnLeft, filter(isYellow, world.blocks)).length >= 6);
condition(filter(isOnMiddle, world.blocks).length == 0);
condition(filter(isOnRight, world.blocks).length == 0);","condition(filter(isOnLeft, filter(isYellow, world.blocks)).length >= 6);","condition(filter(isOnMiddle, world.blocks).length == 0);","condition(filter(isOnRight, world.blocks).length == 0);",,medium,7
30,"There are some stacks of red blocks on the middle of the table, and there are some stacks of yellow blocks on the right side. There are no blocks on the left side.",,1,2,,There are some stacks of red blocks on the middle of the table.,There are some stacks of yellow blocks on the right side.,There are no blocks on the left side.,,"condition(filter(isOnMiddle, filter(isRed, world.stacks)).length > 0);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length > 0);
condition(filter(isOnLeft, world.blocks).length == 0);","condition(filter(isOnMiddle, filter(isRed, world.stacks)).length > 0);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length > 0);","condition(filter(isOnLeft, world.blocks).length == 0);",,medium,5
31,"There are several stacks of red blocks on the table, and there are at most two stacks of yellow blocks on the table.",1,,1,,There are several stacks of red blocks on the table.,There are at most two stacks of yellow blocks on the table.,,,"condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);
condition(filter(isYellow, world.stacks).length <= 2);","condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);","condition(filter(isYellow, world.stacks).length <= 2);",,,medium,2
32,"There are at least seven red blocks on the table, and there are many yellow blocks on the table.",1,,1,,There are at least seven red blocks on the table.,There are many yellow blocks on the table.,,,"condition(filter(isRed, world.blocks).length >= 7);
condition(filter(isYellow, world.blocks).length >= 6);","condition(filter(isRed, world.blocks).length >= 7);","condition(filter(isYellow, world.blocks).length >= 6);",,,medium,3
33,"There are at most six yellow blocks on the table, and there are no more than four red blocks on the table.",1,,2,,There are at most six yellow blocks on the table.,There are no more than four red blocks on the table.,,,"condition(filter(isYellow, world.blocks).length <= 6);
condition(filter(isRed, world.blocks).length <= 4);","condition(filter(isYellow, world.blocks).length <= 6);","condition(filter(isRed, world.blocks).length <= 4);",,,medium,5
34,"There are eight red blocks on the table, and there are no yellow blocks on the table.",1,,2,,There are eight red blocks on the table.,There are no yellow blocks on the table.,,,"condition(filter(isRed, world.blocks).length == 8);
condition(filter(isYellow, world.blocks).length == 0);","condition(filter(isRed, world.blocks).length == 8);","condition(filter(isYellow, world.blocks).length == 0);",,,medium,1
35,"There are two tall stacks of yellow blocks, and there are two short stacks of red blocks.",1,,,1,There are two tall stacks of yellow blocks.,There are two short stacks of red blocks.,,,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);
condition(filter(isShort, filter(isRed, world.stacks)).length == 2);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);","condition(filter(isShort, filter(isRed, world.stacks)).length == 2);",,,medium,6
36,"There is one tall stack of red blocks, and there are two short stacks of yellow blocks.",1,,,1,There is one tall stack of red blocks.,There are two short stacks of yellow blocks.,,,"condition(filter(isTall, filter(isRed, world.stacks)).length == 1);
condition(filter(isShort, filter(isYellow, world.stacks)).length == 2);","condition(filter(isTall, filter(isRed, world.stacks)).length == 1);","condition(filter(isShort, filter(isYellow, world.stacks)).length == 2);",,,medium,4
37,"There are two tall stacks of yellow blocks, and there are three short stacks of red blocks.",1,,,1,There are two tall stacks of yellow blocks.,There are three short stacks of red blocks.,,,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);
condition(filter(isShort, filter(isRed, world.stacks)).length == 3);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);","condition(filter(isShort, filter(isRed, world.stacks)).length == 3);",,,medium,4
