task_id,language_full,number,location,quant_or_neg,vague_adj,language_phrase_1,language_phrase_2,language_phrase_3,language_phrase_4,code_full,code_phrase_1,code_phrase_2,code_phrase_3,code_phrase_4,complexity,example_answer
38,"There are stacks of yellow blocks, and there are stacks of red blocks. All of the yellow stacks are tall, and all of the red stacks are short.",,,1,1,There are stacks of yellow blocks.,There are stacks of red blocks.,All of the yellow stacks are tall.,All of the red stacks are short.,"condition(filter(isYellow, world.stacks).length > 0);
condition(filter(isRed, world.stacks).length > 0);
condition(all(isTall, filter(isYellow, world.stacks)));
condition(all(isShort, filter(isRed, world.stacks)));","condition(filter(isYellow, world.stacks).length > 0);","condition(filter(isRed, world.stacks).length > 0);","condition(all(isTall, filter(isYellow, world.stacks)));","condition(all(isShort, filter(isRed, world.stacks)));",medium,6
39,"There are stacks of red blocks, and there are stacks of yellow blocks. All of the red stacks are tall, and some of the yellow stacks are tall.",,,1,1,There are stacks of red blocks.,There are stacks of yellow blocks.,All of the red stacks are tall.,Some of the yellow stacks are tall.,"condition(filter(isRed, world.stacks).length > 0);
condition(filter(isYellow, world.stacks).length > 0);
condition(all(isTall, filter(isRed, world.stacks)));
condition(any(isShort, filter(isYellow, world.stacks)));","condition(filter(isRed, world.stacks).length > 0);","condition(filter(isYellow, world.stacks).length > 0);","condition(all(isTall, filter(isRed, world.stacks)));","condition(any(isShort, filter(isYellow, world.stacks)));",medium,2
40,"There are some short stacks of yellow blocks, and there are some tall stacks of red blocks.",,,1,1,There are some short stacks of yellow blocks.,There are some tall stacks of red blocks.,,,"condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);
condition(filter(isTall, filter(isRed, world.stacks)).length > 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length > 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > 0);",,,medium,3
41,"There are many red blocks on the left side of the table, and there is at most one stack of yellow blocks on the right side.",1,1,1,,There are many red blocks on the left side of the table.,There is at most one stack of yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length <= 1);","condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length <= 1);",,,high,3
42,"There is one stack of yellow blocks on the left side of the table, and there are some red blocks on the middle.",1,1,1,,There is one stack of yellow blocks on the left side of the table.,There are some red blocks on the middle.,,,"condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);
condition(filter(isOnMiddle, filter(isRed, world.blocks)).length > 0);","condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 1);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length > 0);",,,high,6
43,"There are many red blocks on the left side of the table, and there are two stacks of yellow blocks on the left side.",1,1,1,,There are many red blocks on the left side of the table.,There are two stacks of yellow blocks on the left side.,,,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);
condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 2);","condition(filter(isOnLeft, filter(isRed, world.blocks)).length >= 6);","condition(filter(isOnLeft, filter(isYellow, world.stacks)).length == 2);",,,high,4
44,"There are three yellow blocks on the right side of the table, and there are many red blocks on the right side.",1,1,1,,There are three yellow blocks on the right side of the table.,There are many red blocks on the right side.,,,"condition(filter(isOnRight, filter(isYellow, world.blocks)).length == 3);
condition(filter(isOnRight, filter(isRed, world.blocks)).length >= 6);","condition(filter(isOnRight, filter(isYellow, world.blocks)).length == 3);","condition(filter(isOnRight, filter(isRed, world.blocks)).length >= 6);",,,high,2
45,"There are four red blocks on the left side of the table, and there are no less than five yellow blocks on the right side.",1,1,2,,There are four red blocks on the left side of the table.,There are no less than five yellow blocks on the right side.,,,"condition(filter(isOnLeft, filter(isRed, world.blocks)).length == 4);
condition(filter(isOnRight, filter(isYellow, world.blocks)).length >= 5);","condition(filter(isOnLeft, filter(isRed, world.blocks)).length == 4);","condition(filter(isOnRight, filter(isYellow, world.blocks)).length >= 5);",,,high,5
46,"There are eight red blocks on the middle of the table, and no more than half of the blocks on the edges of the table are yellow.",1,1,2,,There are eight red blocks on the middle of the table.,No more than half of the blocks on the edges of the table are yellow.,,,"condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 8);
condition(filter(isYellow, filter(isOnEdge, world.blocks)).length <= filter(isOnEdge, world.blocks).length/2);","condition(filter(isOnMiddle, filter(isRed, world.blocks)).length == 8);","condition(filter(isYellow, filter(isOnEdge, world.blocks)).length <= filter(isOnEdge, world.blocks).length/2);",,,high,2
47,"There is one stack of yellow blocks on the middle of the table, and there are two short stacks of red blocks near the yellow stack.",1,1,,1,There is one stack of yellow blocks on the middle of the table.,There are two short stacks of red blocks near the yellow stack.,,,"condition(filter(isOnMiddle, filter(isYellow, world.stacks)).length == 1);
condition(filter(isNear(filter(isOnMiddle, filter(isYellow, world.stacks))[0]), filter(isShort, filter(isRed, world.stacks))).length == 2);","condition(filter(isOnMiddle, filter(isYellow, world.stacks)).length == 1);","condition(filter(isNear(filter(isOnMiddle, filter(isYellow, world.stacks))[0]), filter(isShort, filter(isRed, world.stacks))).length == 2);",,,high,4
48,"There is one stack of red blocks on the left edge of the table, and there are two tall stacks of yellow blocks near the red stack.",1,1,,1,There is one stack of red blocks on the left edge of the table.,There are two tall stacks of yellow blocks near the red stack.,,,"condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks))).length == 1);
condition(filter(isNear(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks)))[0]), filter(isTall, filter(isYellow, world.stacks))).length == 2);","condition(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks))).length == 1);","condition(filter(isNear(filter(isOnEdge, filter(isOnLeft, filter(isRed, world.stacks)))[0]), filter(isTall, filter(isYellow, world.stacks))).length == 2);",,,high,6
49,"There is one stack of yellow blocks on the center of the table, and there is one tall stack of red blocks near the yellow stack.",1,1,,1,There is one stack of yellow blocks on the center of the table.,There is one tall stack of red blocks near the yellow stack.,,,"condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);
condition(filter(isNear(filter(isOnCenter, filter(isYellow, world.stacks))[0]), filter(isTall, filter(isRed, world.stacks))).length == 1);","condition(filter(isOnCenter, filter(isYellow, world.stacks)).length == 1);","condition(filter(isNear(filter(isOnCenter, filter(isYellow, world.stacks))[0]), filter(isTall, filter(isRed, world.stacks))).length == 1);",,,high,3
50,"There is one tall stack of red blocks on the right edge of the table, and there are two yellow blocks on the middle of the table.",1,1,,1,There is one tall stack of red blocks on the right edge of the table.,There are two yellow blocks on the middle of the table.,,,"condition(filter(isOnEdge, filter(isOnRight, filter(isTall, filter(isRed, world.stacks)))).length == 1);
condition(filter(isOnMiddle, filter(isYellow, world.blocks)).length == 2);","condition(filter(isOnEdge, filter(isOnRight, filter(isTall, filter(isRed, world.stacks)))).length == 1);","condition(filter(isOnMiddle, filter(isYellow, world.blocks)).length == 2);",,,high,1
51,There are less stacks of yellow blocks than stacks of red blocks on the table. All of the yellow stacks are short. ,,1,1,1,There are less stacks of yellow blocks than stacks of red blocks on the table.,All of the yellow stacks are short. ,,,"condition(filter(isYellow, world.stacks).length < filter(isRed, world.stacks).length);
condition(filter(isYellow, world.stacks).length > 0 && all(isShort, filter(isYellow, world.stacks)));","condition(filter(isYellow, world.stacks).length < filter(isRed, world.stacks).length);","condition(filter(isYellow, world.stacks).length > 0 && all(isShort, filter(isYellow, world.stacks)));",,,high,2
52,"There are several stacks of red blocks on the table, and there are a few blocks on the edges of the table. Less than half of the blocks on the edges are yellow.",,1,1,1,There are several stacks of red blocks on the table.,There are a few blocks on the edges of the table. ,Less than half of the blocks on the edges are yellow.,,"condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);
condition(filter(isOnEdge, world.blocks).length > 1 && filter(isOnEdge, world.blocks).length <= 4);
condition(filter(isYellow, filter(isOnEdge, world.blocks)).length < filter(isOnEdge, world.blocks).length/2);","condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);","condition(filter(isOnEdge, world.blocks).length > 1 && filter(isOnEdge, world.blocks).length <= 4);","condition(filter(isYellow, filter(isOnEdge, world.blocks)).length < filter(isOnEdge, world.blocks).length/2);",,high,2
53,There are more stacks of yellow blocks than stacks of red blocks on the table. None of the yellow stacks are tall. Most of the red stacks are tall.,,1,2,1,There are more stacks of yellow blocks than stacks of red blocks on the table. ,None of the yellow stacks are tall. ,Most of the red stacks are tall.,,"condition(filter(isYellow, world.stacks).length > filter(isRed, world.stacks).length);
condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);
condition(filter(isTall, filter(isRed, world.stacks)).length > filter(isRed, world.stacks).length/2);","condition(filter(isYellow, world.stacks).length > filter(isRed, world.stacks).length);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);","condition(filter(isTall, filter(isRed, world.stacks)).length > filter(isRed, world.stacks).length/2);",,high,4
54,"There are several stacks of red blocks on the table, and none of the red stacks are tall. There are a few yellow blocks, and all of the yellow blocks are on the egdes of the table.",,1,2,1,There are several stacks of red blocks on the table.,None of the red stacks are tall. ,There are a few yellow blocks.,All of the yellow blocks are on the egdes of the table.,"condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);
condition(filter(isTall, filter(isRed, world.stacks)).length == 0);
condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);
condition(all(isOnEdge, filter(isYellow, world.blocks)));","condition(filter(isRed, world.stacks).length > 2 && filter(isRed, world.stacks).length <= 5);","condition(filter(isTall, filter(isRed, world.stacks)).length == 0);","condition(filter(isYellow, world.blocks).length > 1 && filter(isYellow, world.blocks).length <= 4);","condition(all(isOnEdge, filter(isYellow, world.blocks)));",high,5
55,"There are two tall stacks of yellow blocks, and there are several short stacks of red blocks.",1,,1,1,There are two tall stacks of yellow blocks.,There are several short stacks of red blocks.,,,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);
condition(filter(isShort, filter(isRed, world.stacks)).length > 2 && filter(isShort, filter(isRed, world.stacks)).length <= 5);","condition(filter(isTall, filter(isYellow, world.stacks)).length == 2);","condition(filter(isShort, filter(isRed, world.stacks)).length > 2 && filter(isShort, filter(isRed, world.stacks)).length <= 5);",,,high,5
56,"There are a few tall stacks of red blocks, and there are four stacks of yellow blocks.",1,,1,1,There are a few tall stacks of red blocks.,There are four stacks of yellow blocks.,,,"condition(filter(isTall, filter(isRed, world.stacks)).length > 1 && filter(isTall, filter(isRed, world.stacks)).length <= 4);
condition(filter(isYellow, world.stacks).length == 4);","condition(filter(isTall, filter(isRed, world.stacks)).length > 1 && filter(isTall, filter(isRed, world.stacks)).length <= 4);","condition(filter(isYellow, world.stacks).length == 4);",,,high,4
57,"There are many stacks of blocks on the table. There are no tall yellow stacks, and there are less than four tall red stacks.",1,,2,1,There are many stacks of blocks on the table.,There are no tall yellow stacks.,There are less than four tall red stacks.,,"condition(world.stacks.length >= 6);
condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);
condition(filter(isTall, filter(isRed, world.stacks)).length <= 4);",condition(world.stacks.length >= 6);,"condition(filter(isTall, filter(isYellow, world.stacks)).length == 0);","condition(filter(isTall, filter(isRed, world.stacks)).length <= 4);",,high,3
58,"There are three stacks of red blocks, and there are two stacks of yellow blocks. There are no tall red stacks, and there are no short yellow stacks.",1,,2,1,There are three stacks of red blocks.,There are two stacks of yellow blocks. ,There are no tall red stacks.,There are no short yellow stacks.,"condition(filter(isRed, world.stacks).length == 3);
condition(filter(isYellow, world.stacks).length == 2);
condition(filter(isTall, filter(isRed, world.stacks)).length == 0);
condition(filter(isShort, filter(isYellow, world.stacks)).length == 0);","condition(filter(isRed, world.stacks).length == 3);","condition(filter(isYellow, world.stacks).length == 2);","condition(filter(isTall, filter(isRed, world.stacks)).length == 0);","condition(filter(isShort, filter(isYellow, world.stacks)).length == 0);",high,5
59,"There is one tall stack of yellow blocks on the middle of the table, and there are some red blocks near the yellow stack.",1,1,1,1,There is one tall stack of yellow blocks on the middle of the table.,There are some red blocks near the yellow stack.,,,"condition(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks))).length == 1);
condition(filter(isNear(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks)))[0]), filter(isRed, world.blocks)).length > 0);","condition(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks))).length == 1);","condition(filter(isNear(filter(isOnMiddle, filter(isTall, filter(isYellow, world.stacks)))[0]), filter(isRed, world.blocks)).length > 0);",,,high,6
60,"There is at least one tall stack of red blocks on the middle of the table, and there are two stacks of yellow blocks on the right side. There are no blocks on the left side.",1,1,1,1,There is at least one tall stack of red blocks on the middle of the table.,There are two stacks of yellow blocks on the right side. ,There are no blocks on the left side.,,"condition(filter(isOnMiddle, filter(isTall, filter(isRed, world.stacks))).length >= 1);
condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);
condition(filter(isOnLeft, world.blocks).length == 0);","condition(filter(isOnMiddle, filter(isTall, filter(isRed, world.stacks))).length >= 1);","condition(filter(isOnRight, filter(isYellow, world.stacks)).length == 2);","condition(filter(isOnLeft, world.blocks).length == 0);",,high,5
61,"There are at least two tall stacks of yellow blocks on the left side of the table, and there is at most one tall stack of red blocks on the right side.",1,1,1,1,There are at least two tall stacks of yellow blocks on the left side of the table.,There is at most one tall stack of red blocks on the right side.,,,"condition(filter(isOnLeft, filter(isTall, filter(isYellow, world.stacks))).length >= 2);
condition(filter(isOnRight, filter(isTall, filter(isRed, world.stacks))).length <= 1);","condition(filter(isOnLeft, filter(isTall, filter(isYellow, world.stacks))).length >= 2);","condition(filter(isOnRight, filter(isTall, filter(isRed, world.stacks))).length <= 1);",,,high,6
62,"There is one tall stack of yellow blocks on the left edge of the table, and there are no red blocks on the right edge.",1,1,2,1,There is one tall stack of yellow blocks on the left edge of the table.,There are no red blocks on the right edge.,,,"condition(filter(isOnEdge, filter(isOnLeft, filter(isTall, filter(isYellow, world.stacks)))).length == 1);
condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.stacks))).length == 0);","condition(filter(isOnEdge, filter(isOnLeft, filter(isTall, filter(isYellow, world.stacks)))).length == 1);","condition(filter(isOnEdge, filter(isOnRight, filter(isRed, world.stacks))).length == 0);",,,high,6
63,"There are two stacks of blocks on the left side of the table, and there are three stacks of blocks on the right side. All of the stacks on the left side are yellow, and not all of the stacks on the right side are red.",1,1,2,1,There are two stacks of blocks on the left side of the table.,There are three stacks of blocks on the right side.,All of the stacks on the left side are yellow.,Not all of the stacks on the right side are red.,"condition(filter(isOnLeft, world.stacks).length == 2);
condition(filter(isOnRight, world.stacks).length == 3);
condition(all(isYellow, filter(isOnLeft, world.stacks)));
condition(!all(isRed, filter(isOnRight, world.stacks)));","condition(filter(isOnLeft, world.stacks).length == 2);","condition(filter(isOnRight, world.stacks).length == 3);","condition(all(isYellow, filter(isOnLeft, world.stacks)));","condition(!all(isRed, filter(isOnRight, world.stacks)));",high,5
64,"There are at least five stacks of blocks on the table. No more than half of the stacks are tall. Most of the stacks are red, and most of the stacks are on the right side.",1,1,2,1,There are at least five stacks of blocks on the table. ,No more than half of the stacks are tall.,Most of the stacks are red.,Most of the stacks are on the right side.,"condition(world.stacks.length >= 5);
condition(filter(isTall, world.stacks).length <= world.stacks.length/2);
condition(filter(isRed, world.stacks).length > world.stacks.length/2);
condition(filter(isOnRight, world.stacks).length > world.stacks.length/2);",condition(world.stacks.length >= 5);,"condition(filter(isTall, world.stacks).length <= world.stacks.length/2);","condition(filter(isRed, world.stacks).length > world.stacks.length/2);","condition(filter(isOnRight, world.stacks).length > world.stacks.length/2);",high,3